Date,Account Number,Account Name,Description,Debit,Credit,Balance
01/01/2024,4000,Sales Revenue,Monthly Sales,0,50000,50000
01/01/2024,4100,Service Revenue,Consulting Services,0,25000,25000
01/01/2024,5000,Cost of Goods,Inventory Purchase,30000,0,30000
01/01/2024,5100,Direct Labor,Production Wages,15000,0,15000
01/01/2024,6000,Operating Expenses,Office Supplies,5000,0,5000
01/01/2024,6100,Marketing Expenses,Digital Marketing,8000,0,8000
01/01/2024,6200,Professional Fees,Legal Services,12000,0,12000
01/01/2024,6300,One-time Setup,Office Renovation,25000,0,25000
01/01/2024,7000,Depreciation,Equipment Depreciation,3000,0,3000
01/01/2024,7100,Interest Expense,Bank Loan Interest,2000,0,2000 
