General Ledger,,,,,,,,,
"Johnson Family Dentistry, PLLC",,,,,,,,,
"January 1-December 31, 2023",,,,,,,,,
,,,,,,,,,
,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Split account,Amount,Balance
216 Accumulated Depreciation,,,,,,,,,
,Beginning Balance,,,,,,,,"-960,870.00"
,216 Accumulated Depreciation,01/01/2023,Journal Entry,CPA 09,,,,"-1,657.75","-962,527.75"
,216 Accumulated Depreciation,02/01/2023,Journal Entry,CPA 10,,,,"-1,657.75","-964,185.50"
,216 Accumulated Depreciation,03/01/2023,Journal Entry,CPA 11,,,,"-1,657.75","-965,843.25"
,216 Accumulated Depreciation,04/01/2023,Journal Entry,CPA 7,,,,"-1,657.75","-967,501.00"
,216 Accumulated Depreciation,05/01/2023,Journal Entry,CPA 9,,,,"-1,657.75","-969,158.75"
,216 Accumulated Depreciation,06/01/2023,Journal Entry,BK2,,,,"-1,657.75","-970,816.50"
,216 Accumulated Depreciation,07/01/2023,Journal Entry,CPA 03,,,,"-1,657.75","-972,474.25"
,216 Accumulated Depreciation,08/01/2023,Journal Entry,BK 3,,,,"-1,657.75","-974,132.00"
,216 Accumulated Depreciation,09/01/2023,Journal Entry,BK 4,,,,"-1,657.75","-975,789.75"
,216 Accumulated Depreciation,10/01/2023,Journal Entry,CPA 03r,,,,"-1,657.75","-977,447.50"
,216 Accumulated Depreciation,11/01/2023,Journal Entry,BK 2,,,,"-1,657.75","-979,105.25"
,216 Accumulated Depreciation,12/01/2023,Journal Entry,BK 3,,,,"-1,657.75","-980,763.00"
Total for 216 Accumulated Depreciation,,,,,,,,"-$19,893.00",
103 Cash in BOA 0693,,,,,,,,,
,Beginning Balance,,,,,,,,"90,724.83"
,103 Cash in BOA 0693,01/01/2023,Check,2412,Ono Kesslering,,Refunds,-14.40,"90,710.43"
,103 Cash in BOA 0693,01/01/2023,Check,2369,Colleen Davis,,Refunds,-36.00,"90,674.43"
,103 Cash in BOA 0693,01/01/2023,Check,2401,Blake Wood,,Refunds,-36.00,"90,638.43"
,103 Cash in BOA 0693,01/01/2023,Check,2356,Carlos Coker,,Refunds,-196.00,"90,442.43"
,103 Cash in BOA 0693,01/01/2023,Check,2397,Yvonne Goodnight,,Refunds,-110.16,"90,332.27"
,103 Cash in BOA 0693,01/01/2023,Check,2411,Mike Vlachos,,Refunds,-36.00,"90,296.27"
,103 Cash in BOA 0693,01/01/2023,Check,2376,Brittany Faust,,Refunds,-38.20,"90,258.07"
,103 Cash in BOA 0693,01/01/2023,Check,2367,Anthony Johnson,,Refunds,-77.48,"90,180.59"
,103 Cash in BOA 0693,01/01/2023,Check,2410,Humberto Espinoza,,Refunds,-25.00,"90,155.59"
,103 Cash in BOA 0693,01/01/2023,Check,2392,Vernon Wessel,,Refunds,-9.50,"90,146.09"
